Connecting to host 10.0.1.102, port 5201
[  5] local 10.0.1.101 port 49456 connected to 10.0.1.102 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  2.38 MBytes  19.9 Mbits/sec    0    184 KBytes       
[  5]   1.00-2.00   sec  2.88 MBytes  24.1 Mbits/sec    0    303 KBytes       
[  5]   2.00-3.00   sec  4.75 MBytes  39.8 Mbits/sec    0    494 KBytes       
[  5]   3.00-4.00   sec  7.75 MBytes  65.0 Mbits/sec    0    798 KBytes       
[  5]   4.00-5.00   sec  10.5 MBytes  88.0 Mbits/sec    0   1.21 MBytes       
[  5]   5.00-6.00   sec  15.4 MBytes   129 Mbits/sec    0   1.83 MBytes       
[  5]   6.00-7.00   sec  15.8 MBytes   132 Mbits/sec    0   2.49 MBytes       
[  5]   7.00-8.00   sec  12.9 MBytes   108 Mbits/sec    0   3.23 MBytes       
[  5]   8.00-9.00   sec  16.0 MBytes   134 Mbits/sec    0   3.99 MBytes       
[  5]   9.00-10.00  sec  16.0 MBytes   134 Mbits/sec    0   4.75 MBytes       
[  5]  10.00-11.00  sec  10.8 MBytes  90.2 Mbits/sec    0   5.45 MBytes       
[  5]  11.00-12.00  sec  16.0 MBytes   134 Mbits/sec    0   6.13 MBytes       
[  5]  12.00-13.00  sec  16.4 MBytes   137 Mbits/sec    0   6.90 MBytes       
[  5]  13.00-14.00  sec  15.9 MBytes   133 Mbits/sec    0   7.63 MBytes       
[  5]  14.00-15.00  sec  10.8 MBytes  90.1 Mbits/sec    0   8.37 MBytes       
[  5]  15.00-16.00  sec  16.0 MBytes   134 Mbits/sec    0   9.07 MBytes       
[  5]  16.00-17.00  sec  11.6 MBytes  97.5 Mbits/sec    0   9.76 MBytes       
[  5]  17.00-18.00  sec  10.8 MBytes  90.1 Mbits/sec    0   10.5 MBytes       
[  5]  18.00-19.00  sec  16.1 MBytes   135 Mbits/sec    0   11.2 MBytes       
[  5]  19.00-20.00  sec  15.8 MBytes   132 Mbits/sec    0   12.0 MBytes       
[  5]  20.00-21.00  sec  10.6 MBytes  89.1 Mbits/sec    0   12.7 MBytes       
[  5]  21.00-22.00  sec  15.6 MBytes   131 Mbits/sec    0   12.8 MBytes       
[  5]  22.00-23.00  sec  10.6 MBytes  88.9 Mbits/sec    0   12.8 MBytes       
[  5]  23.00-24.00  sec  15.9 MBytes   134 Mbits/sec    0   12.8 MBytes       
[  5]  24.00-25.00  sec  15.8 MBytes   132 Mbits/sec    0   12.8 MBytes       
[  5]  25.00-26.00  sec  13.1 MBytes   110 Mbits/sec    0   12.8 MBytes       
[  5]  26.00-27.00  sec  13.5 MBytes   113 Mbits/sec    0   12.8 MBytes       
[  5]  27.00-28.00  sec  16.0 MBytes   134 Mbits/sec    0   12.8 MBytes       
[  5]  28.00-29.00  sec  15.9 MBytes   133 Mbits/sec    0   12.8 MBytes       
[  5]  29.00-30.00  sec  15.9 MBytes   133 Mbits/sec    0   12.8 MBytes       
[  5]  30.00-31.00  sec  10.6 MBytes  89.2 Mbits/sec    0   12.8 MBytes       
[  5]  31.00-32.00  sec  16.1 MBytes   135 Mbits/sec    0   12.8 MBytes       
[  5]  32.00-33.00  sec  16.4 MBytes   137 Mbits/sec    0   12.8 MBytes       
[  5]  33.00-34.00  sec  15.9 MBytes   133 Mbits/sec    0   12.8 MBytes       
